Name	Field	Morpho	Sp (mJy)	err_Sp	Sint (Jy km/s)	err	RMS (mJy/beam)	V_sys (km/s)	w50	DL (Mpc)	log M_HI	D_HI (kpc)
MGTH_J022144.2-044231	XMMLSS13_1330	SP	3.328778331623428	0.09735685960292788	0.2436718030754309	0.012183590153771543	0.09735685960292788	16201.748816668574	66.63339599999999	247.92525439860023	9.500668586381725	32.809529311311906
MGTH_J022145.5-050210	XMMLSS13_1310	SP	2.048369121108009	0.1267865631361834	0.17296423204890615	0.008648211602445308	0.1267865631361834	21276.607283882564	143.103648	332.49543891142065	9.592056903961787	28.379190284415568
MGTH_J022146.5-043621	XMMLSS13_1310	SP	7.099392039636793	0.0987428306298932	0.9172005306432812	0.04586002653216406	0.0987428306298932	21901.539676538	327.709558	343.0043087832975	10.341807819033338	92.68298233793494
MGTH_J022146.8-050750	XMMLSS13_1310	SP	2.309817395039019	0.13357644856422066	0.3191831172470272	0.01595915586235136	0.13357644856422066	21347.30110427032	184.065725	333.29766272612727	9.860097105255283	49.77370849789358
MGTH_J022147.9-044614	XMMLSS13_1380	ET	3.5385100883960963	0.08770842733063734	0.2652558655519456	0.02652558655519456	0.08770842733063734	6009.477058511468	89.08688199999999	87.5866103928474	8.663397073422072	11.534532578210923
MGTH_J022148.3-044833	XMMLSS13_1310	SP	1.80769549941745	0.09575518190028112	0.23258222853617386	0.011629111426808694	0.09575518190028112	21052.86115419392	207.14830700000002	329.2715694583292	9.71276351601011	43.65158322401658
MGTH_J022154.1-044023	XMMLSS13_1310	SP	3.137893158500973	0.10515316396961463	0.4559912089276152	0.02279956044638076	0.10515316396961463	23450.98014723397	505.982551	370.02121451095184	10.099605105927667	60.81350012787179
MGTH_J022204.6-042017	XMMLSS14_1310	SP	4.423311372292897	0.1439599607234126	0.26139651164477484	0.013069825582238744	0.1439599607234126	23865.662507739107	-99.0	376.6350616975398	9.8722316121157	37.32501577957204
MGTH_J022212.3-044252	XMMLSS14_1330	SP	1.6728577488679373	0.07980599192469066	0.1927351414199148	0.00963675707099574	0.07980599192469066	13001.948618227354	161.123975	195.6433801245316	9.202505952411787	19.054607179632473
MGTH_J022214.0-045023	XMMLSS14_1310	SP	1.2515129167054853	0.07125664563475237	0.13397877637504255	0.006698938818752128	0.07125664563475237	21158.495827874525	127.951889	331.6820804648378	9.479147748840944	23.65919697485759
