Name	RA	DEC	V_sys (km/s)	z	w50 (km/s)	D_67 (Mpc)	D_70 (Mpc)	S_int (Jy km/s)	HI size (kpc)	HI size err	log D_HI	log D_HI err	log M_HI (70)	err (70)	log M_HI (67)	err (67)	Inclination	Morpho	RMS (mJy/beam)	Field
MGTH_J022128.8-042448	35.369807	-4.413428	2341	0.007807389	178.215884	34.93342587	33.63885245	9.585570233	24.4894732	0.019055617	1.388979443	0.005964848	9.400720507	0.004989995	9.43352052	0.004989995	TRUE	S	2.479609144	XMMLSS12_1330_1380
MGTH_J021740.2-051805	34.41734	-5.301361	9636	0.031985875	63.116733	145.7064777	140.3449557	0.040265524	7.634406119	0.036197919	0.882775259	0.017828123	8.244154753	0.049571627	8.276718857	0.049571627	TRUE	D	0.101122219	XMMLSS12_1330_1380
MGTH_J021908.8-042603	34.786738	-4.434197	15672	0.052114999	113.294293	240.8549205	232.0445721	0.174585065	14.03300531	0.054744743	1.14715069	0.020748854	9.301198779	0.014600788	9.333566997	0.014600788	TRUE	D	0.126898422	XMMLSS12_1330_1380
MGTH_J021645.4-042035	34.189373	-4.342978	25052	0.083651342	112.723263	395.1193736	380.8000392	0.281143518	54.5690251	0.090047241	1.736946195	0.022540119	9.912718183	0.007607752	9.944780864	0.007607752	TRUE	S	0.103897187	XMMLSS12_1310
MGTH_J021651.5-043714	34.21442	-4.620475	20911	0.06966319	293.473137	325.9230511	314.0625068	0.527204068	92.42232834	0.074545609	1.965776905	0.016487697	10.02969212	0.002475849	10.06189009	0.002475849	FALSE	S	0.063994413	XMMLSS12_1310
MGTH_J021534.4-042904	33.893491	-4.484564	24587	0.082098481	68.952855	387.3777381	373.3325181	0.128980033	40.68301943	0.088373856	1.609413178	0.023874177	9.558355834	0.023731378	9.590433513	0.023731378	TRUE	S	0.148774051	XMMLSS12_1310
MGTH_J021639.9-044747	34.16611	-4.796436	20860	0.069502108	137.304672	325.1333284	313.3009598	1.060266795	100.1837106	0.074377942	2.000797113	0.016162676	10.33115061	0.001204721	10.36335014	0.001204721	TRUE	S	0.062628267	XMMLSS12_1310
MGTH_J021600.4-044414	34.001486	-4.73721	20822	0.069341075	275.155525	324.3440062	312.5398017	0.576396316	55.08882379	0.074210385	1.7410635	0.018531998	10.06447465	0.002844307	10.09667574	0.002844307	TRUE	SM	0.080388873	XMMLSS12_1310
MGTH_J021848.1-045028	34.700433	-4.841058	25143	0.083865509	67.423974	396.1882498	381.831088	0.179292887	46.40593261	0.090278399	1.666573505	0.023552203	9.719530122	0.007248932	9.751590735	0.007248932	TRUE	S	0.063128771	XMMLSS12_1310
MGTH_J022016.8-042546	35.069941	-4.429369	20696	0.068824486	88.095844	321.8129865	310.0991095	0.50783148	68.81983612	0.073673279	1.837713634	0.017430278	10.00308315	0.00903038	10.03528925	0.00903038	TRUE	SM	0.22491196	XMMLSS12_1310
